lr: 0.0004
epochs: 500
weight_decay: 1e-05
model: Transolver_Structured_Mesh_3D
n_hidden: 96
n_layers: 6
n_heads: 8
batch_size: 64
gpu: 0
max_grad_norm: 0.2
mlp_ratio: 2
dropout: 0.1
slice_num: 64
eval: 0
resume: 0
save_name: 11
data_path: ./data
log_name: train_log11
resume_name: 

Epoch	Train Loss	Test Error
1	6.172837	2.724948
2	0.297226	1.431749
3	0.204357	1.105076
4	0.169091	0.952606
5	0.151292	0.843529
6	0.139250	0.755527
7	0.129351	0.717476
8	0.123125	0.676502
9	0.118591	0.626723
10	0.115526	0.622800
11	0.110163	0.565618
12	0.110643	0.553737
13	0.111552	0.560555
14	0.107361	0.590163
15	0.108724	0.542724
16	0.106903	0.588215
17	0.107782	0.534175
18	0.107235	0.528693
19	0.108779	0.586409
20	0.110233	0.586010
21	0.110973	0.614460
22	0.115491	0.636471
23	0.117169	0.641512
24	0.120996	0.604184
25	0.119268	0.613571
26	0.123106	0.688944
27	0.127983	0.750556
28	0.133233	0.638717
29	0.128424	0.822011
30	0.135334	0.760113
31	0.138512	0.685795
32	0.143226	0.857132
33	0.144873	0.759937
34	0.150020	0.905660
35	0.150484	0.960527
36	0.156432	0.893034
37	0.157061	0.935294
38	0.166223	1.042173
39	0.160355	0.781357
40	0.171856	1.221687
41	0.179427	1.088213
42	0.176884	1.222724
43	0.182162	0.912732
44	0.190073	1.112116
45	0.192255	1.035155
46	0.198163	1.245448
47	0.207581	1.377346
48	0.202774	1.227539
49	0.219421	1.165578
50	0.219038	1.196677
51	0.225617	1.454537
52	0.233755	1.604688
53	0.237879	1.317099
54	0.233847	1.490491
55	0.223615	1.300549
56	0.247315	1.271974
57	0.255254	1.674897
58	0.258907	1.576136
59	0.258927	1.630995
60	0.264709	1.532389
61	0.262886	1.451952
62	0.273073	1.813537
63	0.272463	1.550095
64	0.273609	1.639385
65	0.288084	1.338399
66	0.276795	1.499164
67	0.272603	1.761562
68	0.298239	2.130761
69	0.283977	1.917111
70	0.287882	1.482255
71	0.280878	1.919438
72	0.295653	1.629188
73	0.289679	1.901197
74	0.294191	1.816719
75	0.306415	1.561981
76	0.295521	1.559579
77	0.299550	1.705015
78	0.308429	1.581430
79	0.300948	1.632843
80	0.304874	2.205487
81	0.302244	1.616166
82	0.319908	1.837904
83	0.315268	1.425356
84	0.311660	2.032373
85	0.320028	2.244592
86	0.306548	2.149623
87	0.322768	2.147536
88	0.324380	1.830708
89	0.322726	1.620714
90	0.315059	1.728287
91	0.304306	2.181677
92	0.306255	2.348037
93	0.305623	1.653688
94	0.299959	1.367176
95	0.278617	1.485675
96	0.231838	1.086568
97	0.185660	0.844840
98	0.141777	0.652300
99	0.135402	0.724416
100	0.125840	0.698227
101	0.125196	0.563549
102	0.124301	0.588269
103	0.125700	0.713354
104	0.127410	0.786104
105	0.129777	0.579488
106	0.130014	0.549668
107	0.130913	0.559646
108	0.126772	0.586652
109	0.127004	0.751862
110	0.128868	0.698087
111	0.122064	0.736206
112	0.118421	0.626250
113	0.118209	0.670473
114	0.117315	0.463664
115	0.113559	0.504966
116	0.112840	0.519065
117	0.109563	0.506420
118	0.106385	0.582628
119	0.099926	0.430642
