lr: 0.001
epochs: 300
weight_decay: 1e-05
model: Transolver_Structured_Mesh_3D
n_hidden: 128
n_layers: 8
n_heads: 8
batch_size: 8
gpu: 0
max_grad_norm: 0.1
mlp_ratio: 1
dropout: 0.0
slice_num: 64
eval: 0
resume: 0
save_name: 6
data_path: ./data
log_name: 6
resume_name: 

Epoch	Train Loss	Test Error
1	2.531670	20.630881
2	0.713090	19.321168
3	0.673090	21.244474
4	0.671887	17.642867
5	0.697920	24.391508
6	0.713044	19.400677
7	0.715575	28.789929
8	0.715339	18.577423
9	0.743749	17.941925
10	0.768699	24.404313
11	0.802058	28.540468
12	0.790581	24.530614
13	0.808429	26.838352
14	0.826549	26.612386
15	0.839426	24.675457
16	0.855193	27.087884
17	0.841293	24.764453
18	0.855492	31.742418
19	0.859570	30.066986
20	0.851332	26.498293
21	0.859300	25.276309
22	0.844754	19.304888
23	0.842440	23.687752
24	0.861146	31.656427
25	0.847595	26.114267
26	0.824421	27.570114
27	0.843926	24.431218
28	0.819144	20.446593
29	0.803643	24.798901
30	0.800587	22.060271
31	0.774277	19.245733
32	0.744047	20.006603
33	0.657733	20.940620
34	0.544599	13.107505
35	0.435775	8.912778
36	0.373580	8.336260
37	0.339606	8.229214
38	0.314245	7.331896
39	0.295888	5.467694
40	0.284307	4.906052
41	0.269125	4.818678
42	0.254054	4.029995
43	0.238301	3.630087
44	0.231085	3.554555
45	0.231850	3.753056
46	0.231478	3.754984
47	0.233885	3.659384
48	0.234496	3.928414
49	0.236850	4.088728
50	0.236631	3.996186
51	0.239009	3.859658
52	0.240105	3.690127
53	0.240238	3.469136
54	0.240993	3.615061
55	0.243096	3.899366
56	0.243963	3.955520
57	0.245796	4.510123
58	0.247420	4.640842
59	0.248339	4.782898
60	0.248818	4.407376
61	0.249695	4.824835
62	0.250697	4.430295
63	0.253811	4.191467
64	0.256072	4.631366
65	0.255172	4.628426
66	0.256936	5.051692
67	0.256421	4.903151
68	0.258493	5.471765
69	0.258628	5.268879
70	0.260736	5.219116
71	0.260617	6.098432
72	0.262221	4.479374
73	0.263906	5.635451
74	0.264998	5.602597
75	0.266377	5.773538
76	0.264327	4.827724
77	0.266748	5.437356
78	0.267807	5.763210
79	0.268720	5.501045
80	0.268360	5.493797
81	0.272235	5.573327
82	0.271630	5.446627
83	0.268742	5.532252
84	0.272066	4.977225
85	0.271618	4.933846
86	0.271860	6.433241
87	0.276327	5.855302
88	0.268762	4.864836
89	0.270996	5.901080
90	0.269170	5.504966
91	0.271829	5.284035
92	0.269870	5.211073
93	0.270163	5.178003
94	0.269985	5.796264
95	0.268556	5.256707
96	0.270662	5.386474
97	0.269129	5.075222
98	0.267923	6.029340
99	0.266798	5.580810
100	0.269833	5.430480
101	0.267071	5.451334
102	0.264698	4.530773
103	0.266468	4.804076
104	0.265146	5.531779
105	0.264096	5.023829
106	0.267853	5.932709
107	0.262622	5.426509
108	0.264089	4.760451
109	0.264704	4.982531
110	0.263014	4.663764
111	0.261356	5.499427
112	0.260367	4.995410
113	0.261751	5.631693
114	0.260608	5.285970
115	0.259377	5.763427
116	0.262025	5.179709
117	0.260723	5.735880
118	0.260812	5.574350
119	0.258822	5.099875
120	0.257985	5.109530
121	0.260221	5.056056
122	0.260686	4.982272
123	0.260290	4.979741
124	0.258680	5.173967
125	0.255040	4.752259
126	0.254010	4.977769
127	0.258026	4.637920
128	0.255623	4.428416
129	0.252193	5.013321
130	0.252952	5.077908
131	0.253194	6.021176
132	0.250425	5.020832
133	0.254645	5.208086
134	0.252466	4.881988
135	0.249260	5.143819
136	0.249030	4.896565
137	0.251646	4.796659
138	0.251546	5.009593
139	0.248111	4.527841
140	0.248178	4.834036
141	0.245649	4.619157
142	0.245223	4.279364
143	0.242742	5.995977
144	0.244985	4.377313
145	0.244087	4.546068
146	0.243278	5.065789
147	0.241119	4.767825
148	0.241022	4.471533
149	0.241704	5.505450
150	0.240392	4.375370
151	0.238101	4.535398
152	0.238377	4.376483
153	0.237480	4.153149
154	0.239995	3.757639
155	0.236578	4.250055
156	0.234374	4.502576
157	0.234641	4.766657
158	0.233837	4.084277
159	0.232051	4.695661
160	0.230922	4.845853
161	0.230100	5.092488
162	0.232702	3.926730
163	0.229818	4.434412
164	0.228946	4.335859
165	0.227254	4.769363
166	0.229129	4.168398
167	0.227662	3.962113
168	0.227572	3.959909
169	0.226479	4.588038
170	0.225149	3.834306
171	0.226848	3.884818
172	0.225282	4.288481
173	0.225571	3.913258
174	0.221850	4.033866
175	0.221058	3.906007
176	0.219982	4.326452
177	0.219742	3.956138
178	0.219901	4.202975
179	0.218866	3.972001
180	0.219093	3.975712
181	0.217726	4.107210
182	0.215059	3.822074
183	0.216392	3.875156
184	0.216220	3.681426
185	0.216266	3.521375
186	0.213332	3.831520
187	0.213169	3.525250
188	0.211747	3.617928
189	0.212031	3.732262
190	0.210104	3.683644
191	0.210140	3.804017
192	0.208306	3.448411
193	0.190618	3.024837
194	0.174683	2.791641
195	0.170466	2.547489
196	0.168460	2.670432
197	0.166424	2.402190
198	0.166387	2.827797
199	0.165600	3.075327
200	0.165053	2.696258
201	0.164159	2.343755
202	0.162138	2.308519
203	0.160741	2.541354
204	0.160800	2.599537
205	0.158432	2.323537
206	0.159735	2.691960
207	0.158863	2.238397
208	0.158098	2.330592
209	0.155542	2.540991
210	0.156931	2.386337
211	0.155713	2.471058
212	0.154048	2.269135
213	0.153822	2.271937
214	0.153686	2.263331
215	0.152207	2.269867
216	0.151834	2.301806
217	0.150109	2.472801
218	0.150725	2.429608
219	0.148754	2.106647
220	0.147554	2.204707
221	0.147731	2.041601
222	0.146150	2.239903
223	0.146272	2.200064
224	0.144686	1.995283
225	0.144089	2.028522
226	0.143264	2.191068
227	0.143159	2.054125
228	0.140964	2.018002
229	0.142086	2.067994
230	0.140154	2.258658
231	0.139185	2.256896
232	0.140458	2.062339
233	0.138815	2.166859
234	0.136355	2.107075
235	0.136207	2.203451
236	0.135922	2.115511
237	0.134996	2.243664
238	0.135585	2.159673
239	0.134917	2.134568
240	0.133351	2.152998
241	0.132245	2.190430
242	0.131651	2.124468
243	0.130233	2.115660
244	0.130236	2.239403
245	0.129123	2.238379
246	0.127838	2.221868
247	0.127067	2.131663
248	0.127381	2.181496
249	0.126495	2.183352
250	0.124409	2.177338
251	0.124799	2.233579
252	0.123444	2.109605
253	0.122755	2.257896
254	0.122289	2.266359
255	0.121016	2.097137
256	0.120961	2.285877
257	0.120611	2.133369
258	0.120672	2.166478
259	0.119494	2.188260
260	0.119717	2.323938
261	0.117227	2.306250
262	0.117468	2.334166
263	0.116928	2.211076
264	0.116368	2.341650
265	0.115743	2.378999
266	0.115430	2.222838
267	0.114403	2.416782
268	0.113246	2.411552
269	0.113890	2.361733
270	0.113836	2.413436
271	0.113133	2.483759
272	0.112961	2.492514
273	0.112528	2.431697
274	0.111577	2.409722
275	0.111311	2.389725
276	0.111170	2.381151
277	0.110453	2.447602
278	0.110230	2.545915
279	0.110386	2.433776
