lr: 0.0001
epochs: 100
weight_decay: 1e-05
model: Transolver_Structured_Mesh_3D
n_hidden: 128
n_layers: 8
n_heads: 8
batch_size: 32
gpu: 0
max_grad_norm: 0.1
mlp_ratio: 1
dropout: 0.0
slice_num: 64
eval: 0
save_name: 2
data_path: ./data
log_name: 2.txt

Epoch	Train Loss	Test Error
1	94488.411952	10629.865107
2	4270.911568	3497.073112
3	2343.830239	2098.069800
4	1803.282781	1541.688998
5	1567.345808	1251.936576
6	1431.298176	1068.352121
7	1362.584535	961.903323
8	1330.413597	922.471526
9	1367.976114	958.232276
10	1412.481931	1062.003021
11	1482.409708	1173.749490
12	1621.986316	1438.558291
13	1737.661939	1438.648049
14	1893.582621	1831.029557
15	2060.104927	2027.051849
16	2210.925995	1875.371841
17	2380.730458	3109.778728
18	2518.417790	2986.644027
19	2717.709273	3071.711018
20	2809.343743	3485.683542
21	2859.967266	3349.052871
22	2996.435563	3374.831731
23	3070.924600	3594.687886
24	3065.735174	3762.867969
25	3190.950850	3421.822074
26	3192.160979	4126.087922
27	3204.913499	3779.147463
28	3209.308712	4243.253853
29	3206.409415	4204.926895
30	3145.374801	4107.418044
31	3120.171869	3464.645435
32	3045.068907	3469.252944
33	2956.739899	3492.142153
34	2922.928694	3998.438450
35	2892.128550	3390.049951
36	2809.275352	2921.329774
37	2760.941884	3054.955789
38	2744.105926	2928.445869
39	2638.859804	2948.717096
40	2630.567076	2853.338184
41	2518.793800	2528.125583
42	2485.163873	2331.565259
43	2436.550476	2336.533566
44	2372.081301	2486.216652
45	2334.842479	2390.512278
46	2289.715372	2110.627859
47	2218.861754	2203.574302
48	2181.059606	1701.375327
49	2107.734863	2063.201465
50	2057.098152	1715.044674
51	1992.491453	2005.074600
52	1933.329823	1826.066901
53	1890.592583	1771.629386
54	1850.387714	1556.100061
55	1778.145894	1579.543785
56	1752.787115	1671.521829
57	1694.123432	1379.679474
58	1649.241728	1419.551250
59	1606.555844	1237.699950
60	1555.514169	1210.510875
61	1512.195029	1231.260145
62	1474.598401	1197.295011
63	1435.676506	965.001782
64	1385.004465	944.799830
65	1338.991881	911.432373
66	1312.339105	797.673693
67	1269.113467	804.916622
68	1232.567358	720.441596
69	1199.755810	593.216200
70	1162.606913	614.230280
71	1135.327621	574.387552
72	1105.928378	528.167167
73	1081.528790	470.401169
74	1056.275859	448.868252
75	1025.509601	411.431007
76	1003.456988	393.468155
77	1073.009568	373.426084
78	957.310643	268.627187
79	937.385848	327.103174
80	918.192477	264.332756
81	900.961192	244.017374
82	895.668281	245.873905
83	871.489540	199.808582
84	856.584003	173.624518
85	844.595317	163.720455
86	833.422476	150.736014
87	823.765624	139.038775
88	816.844614	123.683749
89	808.710407	116.190098
90	802.408391	107.083080
91	796.064504	98.865970
92	791.195522	90.204223
93	787.522277	88.399327
94	785.143624	83.191459
95	783.185757	79.898608
96	781.624142	78.237106
97	780.907879	77.892695
98	780.479926	77.134770
99	780.247023	76.801568
100	780.134929	76.723396
