lr: 0.0003
epochs: 500
weight_decay: 3e-05
model: Transolver_Structured_Mesh_3D
n_hidden: 128
n_layers: 8
n_heads: 8
batch_size: 64
gpu: 0
max_grad_norm: 0.3
mlp_ratio: 2
dropout: 0.1
slice_num: 64
eval: 0
resume: 0
save_name: 10
data_path: ./data
log_name: train_log10
resume_name: 

Epoch	Train Loss	Test Error
252	0.057372	0.205574
253	0.059056	0.194130
254	0.058269	0.200008
255	0.057969	0.191148
256	0.058616	0.199976
257	0.058365	0.195605
258	0.056679	0.193816
259	0.056973	0.197509
260	0.058833	0.191535
261	0.058601	0.189554
262	0.056501	0.196396
263	0.056230	0.197589
264	0.056135	0.190530
265	0.055935	0.192758
266	0.056208	0.192633
267	0.055131	0.188733
268	0.058177	0.185219
269	0.056965	0.190154
270	0.055929	0.185531
271	0.053849	0.190946
272	0.057353	0.190240
273	0.054253	0.184954
274	0.054017	0.185645
275	0.053037	0.184123
276	0.054376	0.186174
277	0.056066	0.183489
278	0.055452	0.186274
279	0.055290	0.188705
280	0.054239	0.171037
281	0.052216	0.162777
282	0.054167	0.166159
283	0.050926	0.174336
284	0.049963	0.161069
285	0.048101	0.158839
286	0.048823	0.146174
287	0.047559	0.167497
288	0.047954	0.147183
289	0.048826	0.148526
290	0.047005	0.161558
291	0.046912	0.157756
292	0.047812	0.143258
293	0.045974	0.163808
294	0.047525	0.143690
295	0.046365	0.148442
296	0.044668	0.143117
297	0.046535	0.165110
298	0.044850	0.144408
299	0.045492	0.143462
300	0.045913	0.141740
301	0.045647	0.142621
302	0.045120	0.141812
303	0.044529	0.139721
304	0.043827	0.145389
305	0.045241	0.143888
306	0.044200	0.139178
307	0.043416	0.146004
308	0.042784	0.137485
309	0.044033	0.134985
310	0.043604	0.141925
311	0.042558	0.139262
312	0.043646	0.151554
313	0.043201	0.148289
314	0.044469	0.136096
315	0.041778	0.137273
316	0.041549	0.137829
317	0.041078	0.138964
318	0.042550	0.136805
319	0.041315	0.137103
320	0.041986	0.136154
321	0.043191	0.136733
322	0.042556	0.137668
323	0.041660	0.144694
324	0.042230	0.137990
325	0.041391	0.139779
326	0.041067	0.136768
327	0.043023	0.138394
328	0.041000	0.135247
329	0.041185	0.134876
330	0.042379	0.137844
331	0.041651	0.136998
332	0.040450	0.135464
333	0.040046	0.137028
334	0.040820	0.141165
335	0.041590	0.134181
336	0.040409	0.134926
337	0.041107	0.135442
338	0.041112	0.137262
339	0.040587	0.132015
340	0.040438	0.139174
341	0.040028	0.135532
342	0.041589	0.131496
343	0.041197	0.138053
344	0.039286	0.136059
345	0.040077	0.140895
346	0.039418	0.134286
347	0.039369	0.132268
348	0.040065	0.133666
349	0.038970	0.133126
350	0.040066	0.132967
351	0.039774	0.135034
352	0.040282	0.139378
353	0.038738	0.134232
354	0.038440	0.134730
355	0.038759	0.136164
356	0.038032	0.133283
357	0.039506	0.133722
358	0.038576	0.133714
359	0.039223	0.134545
360	0.038918	0.130303
361	0.039383	0.136698
362	0.039788	0.133151
363	0.037707	0.133366
364	0.038976	0.136542
365	0.038568	0.136951
366	0.038250	0.136640
367	0.038050	0.134502
368	0.039609	0.132515
369	0.038069	0.132525
370	0.038353	0.137619
371	0.035589	0.137127
372	0.038178	0.132928
373	0.037377	0.131487
374	0.037077	0.134362
375	0.037335	0.133084
376	0.037500	0.138315
377	0.037574	0.136256
378	0.038289	0.139518
379	0.036977	0.139807
380	0.037065	0.137931
381	0.037907	0.128894
382	0.037480	0.135597
383	0.037729	0.129116
384	0.036552	0.135158
385	0.037826	0.133515
386	0.037634	0.134160
387	0.036658	0.138753
388	0.037452	0.142572
389	0.036835	0.151232
390	0.037223	0.160762
391	0.037276	0.143420
392	0.036465	0.131659
393	0.038415	0.151420
394	0.036059	0.148215
395	0.038921	0.158756
396	0.037045	0.158741
397	0.036247	0.155058
398	0.035498	0.152852
399	0.035754	0.157893
400	0.034395	0.166307
401	0.036432	0.168584
402	0.034949	0.173007
403	0.036597	0.167898
404	0.036344	0.161746
405	0.037036	0.169357
406	0.036635	0.170146
407	0.035868	0.176279
408	0.035244	0.161583
409	0.035500	0.166760
410	0.035677	0.176010
411	0.036649	0.170993
412	0.035045	0.175867
413	0.036210	0.172663
414	0.035526	0.174865
415	0.034536	0.171458
416	0.033655	0.169263
417	0.037246	0.172985
418	0.035098	0.177227
419	0.035991	0.174371
420	0.035685	0.176095
421	0.035047	0.172530
422	0.035319	0.175924
