lr: 0.001
epochs: 500
weight_decay: 1e-05
model: Transolver_Structured_Mesh_3D
n_hidden: 128
n_layers: 8
n_heads: 8
batch_size: 32
gpu: 0
max_grad_norm: 0.1
mlp_ratio: 1
dropout: 0.0
slice_num: 64
eval: 0
resume: 0
save_name: 7
data_path: ./data
log_name: 7
resume_name: 

Epoch	Train Loss	Test Error
252	0.079454	0.559127
253	0.079128	0.534904
254	0.076385	0.582481
255	0.077497	0.573679
256	0.076236	0.582861
257	0.078606	0.593943
258	0.079768	0.549809
259	0.078764	0.540017
260	0.079968	0.529290
261	0.076317	0.615538
262	0.078066	0.513861
263	0.077177	0.579448
264	0.076705	0.675650
265	0.076951	0.613584
266	0.076960	0.536408
267	0.077640	0.563149
268	0.075794	0.517271
269	0.076367	0.558881
270	0.076085	0.587120
271	0.074983	0.525145
272	0.073959	0.539733
273	0.076699	0.557277
274	0.074841	0.528830
275	0.073180	0.532481
276	0.074960	0.558118
277	0.073157	0.549373
278	0.074952	0.640727
279	0.070981	0.686694
280	0.074177	0.636395
281	0.071335	0.616971
282	0.070624	0.576996
283	0.069653	0.559259
284	0.070834	0.613191
285	0.073003	0.545175
286	0.071280	0.574623
287	0.070110	0.570284
288	0.070768	0.615286
289	0.068504	0.603707
290	0.072641	0.626935
291	0.070467	0.522833
292	0.068668	0.535232
293	0.068231	0.554945
294	0.067823	0.595362
295	0.068921	0.626364
296	0.066104	0.554789
297	0.067170	0.545238
298	0.068421	0.630421
299	0.069569	0.595567
300	0.069317	0.613908
301	0.066853	0.644287
302	0.066588	0.571554
303	0.065130	0.597037
304	0.068284	0.517772
305	0.074471	0.437066
306	0.072263	0.528624
307	0.070770	0.452336
308	0.073673	0.480685
309	0.070063	0.446086
310	0.069995	0.446929
311	0.071709	0.491488
312	0.071862	0.497244
313	0.068736	0.548744
314	0.069787	0.496392
315	0.068698	0.565981
316	0.066107	0.536493
317	0.066684	0.561212
318	0.065723	0.570544
319	0.065382	0.512506
320	0.065643	0.581593
321	0.064654	0.563856
322	0.063610	0.541318
323	0.063113	0.584662
324	0.064602	0.545512
325	0.062560	0.542394
326	0.063029	0.583292
327	0.062879	0.508929
328	0.062815	0.587334
329	0.061249	0.519514
330	0.061519	0.576263
331	0.061703	0.596763
332	0.062985	0.520514
333	0.060999	0.558567
334	0.060792	0.584995
335	0.059252	0.614101
336	0.061403	0.539489
337	0.060154	0.580924
338	0.058733	0.557926
339	0.058227	0.533571
340	0.059767	0.515224
341	0.058331	0.584400
342	0.060554	0.499981
343	0.060766	0.552537
344	0.061764	0.526904
345	0.057066	0.571803
346	0.058251	0.545209
347	0.058698	0.545305
348	0.058894	0.548479
349	0.058262	0.567205
350	0.058098	0.621234
351	0.056242	0.535492
352	0.057865	0.548405
353	0.057975	0.553134
354	0.056881	0.559749
355	0.058775	0.527502
356	0.055763	0.530638
357	0.056751	0.522857
358	0.056646	0.518232
359	0.055743	0.524488
360	0.055369	0.545876
361	0.055230	0.534678
362	0.055496	0.598485
363	0.056272	0.563790
364	0.055753	0.543623
365	0.055044	0.563126
366	0.053968	0.581669
367	0.054210	0.562370
368	0.054425	0.568749
369	0.054754	0.581275
370	0.053653	0.553269
371	0.053959	0.579583
372	0.054231	0.565747
373	0.053538	0.503568
374	0.052619	0.559434
375	0.054718	0.538791
376	0.052954	0.570678
377	0.053485	0.544763
378	0.053529	0.510590
379	0.052516	0.570101
380	0.053503	0.557184
381	0.051214	0.573354
382	0.051369	0.552669
383	0.053847	0.541305
384	0.052300	0.584715
385	0.051380	0.541270
386	0.051472	0.587194
387	0.051674	0.543232
388	0.051708	0.568369
389	0.050396	0.586292
390	0.052064	0.578932
391	0.050852	0.549392
392	0.050794	0.542054
393	0.050950	0.534052
394	0.049524	0.534251
395	0.050545	0.576077
396	0.049803	0.480544
397	0.049871	0.585138
398	0.051353	0.524039
399	0.050406	0.568348
400	0.049743	0.580511
401	0.050674	0.589346
402	0.049502	0.538590
403	0.049285	0.569183
404	0.048665	0.544015
405	0.050632	0.537371
406	0.048443	0.561102
407	0.049425	0.573468
408	0.049286	0.533175
409	0.047400	0.555325
410	0.048258	0.569099
411	0.048395	0.559429
412	0.048548	0.571417
413	0.048969	0.550175
414	0.048855	0.562772
415	0.048921	0.574224
416	0.049942	0.576499
417	0.048365	0.573018
418	0.048834	0.584131
419	0.048753	0.572192
420	0.048349	0.593296
421	0.047573	0.608858
422	0.047122	0.578864
423	0.047849	0.599320
424	0.047092	0.576100
425	0.047857	0.579713
426	0.047338	0.586164
427	0.047725	0.610048
428	0.047146	0.610266
429	0.048502	0.616496
430	0.047491	0.595021
431	0.047799	0.587350
432	0.046552	0.601983
433	0.046147	0.589403
434	0.046754	0.605900
435	0.046597	0.611929
436	0.046947	0.574386
437	0.046866	0.598239
438	0.046822	0.557521
439	0.047964	0.603185
440	0.047874	0.597564
441	0.046174	0.608379
442	0.047779	0.600112
443	0.046561	0.601556
444	0.045732	0.619734
445	0.046115	0.601565
446	0.046595	0.602370
447	0.045942	0.594659
448	0.047099	0.601829
